,Ticker,$Ticker,Company Name
2423,WSO,$WSO,"Watsco, Inc."
2424,WTS,$WTS,"Watts Water Technologies, Inc."
2425,W,$W,Wayfair Inc.
2426,WBS,$WBS,Webster Financial Corporation
2427,WEC,$WEC,"WEC Energy Group, Inc."
2428,WEI,$WEI,Weidai Ltd.
2429,WRI,$WRI,Weingarten Realty Investors
2430,WMK,$WMK,"Weis Markets, Inc."
2431,WBT,$WBT,"Welbilt, Inc."
2432,WFC,$WFC,Wells Fargo & Company
2433,EOD,$EOD,Wells Fargo Advantage Funds - Wells Fargo Global Dividend Opportunity Fund
2434,WELL,$WELL,Welltower Inc.
2435,WCC,$WCC,"WESCO International, Inc."
2436,WST,$WST,"West Pharmaceutical Services, Inc."
2437,WAL,$WAL,Western Alliance Bancorporation
2438,WALA,$WALA,Western Alliance Bancorporation SUB DEBENTURS 56
2439,WEA,$WEA,Western Asset Premier Bond Fund
2441,EMD,$EMD,Western Asset Emerging Markets Debt Fund Inc.
2442,GDO,$GDO,Western Asset Global Corporate Defined Opportunity Fund Inc.
2443,EHI,$EHI,Western Asset Global High Income Fund Inc.
2444,HIX,$HIX,Western Asset High Income Fund II Inc.
2445,HIO,$HIO,Western Asset High Income Opportunity Fund Inc.
2446,HYI,$HYI,Western Asset High Yield Defined Opportunity Fund Inc.
2447,SBI,$SBI,Western Asset Intermediate Muni Fund Inc.
2448,IGI,$IGI,Western Asset Investment Grade Defined Opportunity Trust Inc.
2449,PAI,$PAI,Western Asset Investment Grade Income Fund Inc.
2450,MMU,$MMU,Western Asset Managed Municipals Fund Inc.
2451,WMC,$WMC,Western Asset Mortgage Capital Corporation
2452,DMO,$DMO,Western Asset Mortgage Opportunity Fund Inc.
2453,MTT,$MTT,Western Asset Municipal Defined Opportunity Trust Inc.
2454,MHF,$MHF,Western Asset Municipal High Income Fund Inc.
2455,MNP,$MNP,Western Asset Municipal Partners Fund Inc.
2457,WIW,$WIW,Western Asset Inflation-Linked Opportunities & Income Fund
2458,WIA,$WIA,Western Asset Inflation-Linked Income Fund
2459,WES,$WES,"Western Midstream Partners, LP"
2460,WU,$WU,The Western Union Company
2461,WAB,$WAB,Westinghouse Air Brake Technologies Corporation
2462,WLK,$WLK,Westlake Chemical Corporation
2463,WLKP,$WLKP,Westlake Chemical Partners LP
2464,WBK,$WBK,Westpac Banking Corporation
2465,WRK,$WRK,WestRock Company
2466,WHG,$WHG,"Westwood Holdings Group, Inc."
2467,WEX,$WEX,WEX Inc.
2468,WY,$WY,Weyerhaeuser Company
2469,WPM,$WPM,Wheaton Precious Metals Corp.
2470,WHR,$WHR,Whirlpool Corporation
2471,WTM,$WTM,"White Mountains Insurance Group, Ltd."
2472,WSR,$WSR,Whitestone REIT
2473,WLL,$WLL,Whiting Petroleum Corporation
